cat__sex_Female,cat__sex_Male,cat__employment_status_Full-time,cat__employment_status_Part-time,cat__qualification_group_No_qualification,cat__qualification_group_One,cat__qualification_group_Three_or_more,cat__qualification_group_Two,num__qualification_count_code,num__group_size_000
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.3416407864998738,-0.20370231515511353
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.4472135954999579,1.303769032080669
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4472135954999579,-0.0022717057406109477
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3416407864998738,-0.7092337727151632
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.3416407864998738,0.7304665283624687
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.4472135954999579,2.950981959535714
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4472135954999579,0.3454169306391312
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3416407864998738,-0.5444400750058145
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.3416407864998738,0.12979494831116947
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4472135954999579,0.4657539805481546
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4472135954999579,-0.4753657394984688
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.3416407864998738,-0.9381782683904535
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.3416407864998738,-0.3275148033286576
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4472135954999579,-0.5745605399649925
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4472135954999579,-1.0140586704991519
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.3416407864998738,-1.1368574891788776
